subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label
CL:0002241	oboInOwl:hasDbXref	FMA:84467	semapv:UnspecifiedMatching	pulmonary interstitial fibroblast	Pulmonary interstitial fibroblast
CL:0002242	oboInOwl:hasDbXref	FMA:67513	semapv:UnspecifiedMatching	nucleate cell	Nucleated cell
CL:0002243	oboInOwl:hasDbXref	FMA:70611	semapv:UnspecifiedMatching	smooth muscle cell of sphincter of pupil	Smooth muscle fiber of sphincter of pupil
CL:0002244	oboInOwl:hasDbXref	FMA:86483	semapv:UnspecifiedMatching	squamous cell of ectocervix	Squamous cell of ectocervix
CL:0002245	oboInOwl:hasDbXref	FMA:83601	semapv:UnspecifiedMatching	obsolete null lymphocyte	Null lymphocyte
CL:0002246	oboInOwl:hasDbXref	BTO:0002669	semapv:UnspecifiedMatching	peripheral blood stem cell	peripheral blood stem cell
CL:0002246	oboInOwl:hasDbXref	FMA:86711	semapv:UnspecifiedMatching	peripheral blood stem cell	Peripheral blood stem cell
CL:0002246	oboInOwl:hasDbXref	MESH:D000072916	semapv:UnspecifiedMatching	peripheral blood stem cell	
CL:0002247	oboInOwl:hasDbXref	FMA:83024	semapv:UnspecifiedMatching	pleural macrophage	Pleural macrophage
CL:0002248	oboInOwl:hasDbXref	FMA:70570	semapv:UnspecifiedMatching	pluripotent stem cell	Pluripotent stem cell
CL:0002248	oboInOwl:hasDbXref	MESH:D039904	semapv:UnspecifiedMatching	pluripotent stem cell	
CL:0002249	oboInOwl:hasDbXref	FMA:75620	semapv:UnspecifiedMatching	primitive cardiac myocyte	Primitive cardiac myocyte
CL:0002250	oboInOwl:hasDbXref	FMA:63379	semapv:UnspecifiedMatching	intestinal crypt stem cell	Stem cell of intestinal crypt of Lieberkuhn
CL:0002252	oboInOwl:hasDbXref	FMA:63071	semapv:UnspecifiedMatching	epithelial cell of esophagus	Epithelial cell of esophagus
CL:0002252	oboInOwl:hasDbXref	ZFA:0009400	semapv:UnspecifiedMatching	epithelial cell of esophagus	epithelial cell of esophagus
CL:0002253	oboInOwl:hasDbXref	BTO:0004297	semapv:UnspecifiedMatching	epithelial cell of large intestine	colonic epithelial cell
CL:0002253	oboInOwl:hasDbXref	FMA:256157	semapv:UnspecifiedMatching	epithelial cell of large intestine	Epithelial cell of large intestine
CL:0002254	oboInOwl:hasDbXref	FMA:256159	semapv:UnspecifiedMatching	epithelial cell of small intestine	Epithelial cell of small intestine
CL:0002255	oboInOwl:hasDbXref	FMA:86490	semapv:UnspecifiedMatching	stromal cell of endometrium	Stromal cell of endometrium
CL:0002256	oboInOwl:hasDbXref	FMA:84188	semapv:UnspecifiedMatching	supporting cell of carotid body	Supporting cell of carotid body
CL:0002257	oboInOwl:hasDbXref	FMA:256167	semapv:UnspecifiedMatching	epithelial cell of thyroid gland	Epithelial cell of thyroid gland
CL:0002257	oboInOwl:hasDbXref	MESH:D000072637	semapv:UnspecifiedMatching	epithelial cell of thyroid gland	
CL:0002258	oboInOwl:hasDbXref	BTO:0003736	semapv:UnspecifiedMatching	thyroid follicular cell	thyroid epithelial cell
CL:0002258	oboInOwl:hasDbXref	FMA:68782	semapv:UnspecifiedMatching	thyroid follicular cell	Thyroid follicular cell
CL:0002259	oboInOwl:hasDbXref	FMA:87171	semapv:UnspecifiedMatching	neuroepithelial stem cell	Totipotent neuroepithelial stem cell
CL:0002260	oboInOwl:hasDbXref	FMA:70547	semapv:UnspecifiedMatching	epithelial cell of parathyroid gland	Epithelial cell of parathyroid gland
CL:0002261	oboInOwl:hasDbXref	FMA:70627	semapv:UnspecifiedMatching	endothelial cell of viscerocranial mucosa	Endo-epithelial cell of viscerocranial mucosa
CL:0002262	oboInOwl:hasDbXref	FMA:63134	semapv:UnspecifiedMatching	endothelial cell of sinusoid	Endothelial cell of sinusoid
CL:0002263	oboInOwl:hasDbXref	FMA:69324	semapv:UnspecifiedMatching	transitional cell of parathyroid gland	Transitional cell of parathyroid gland
CL:0002264	oboInOwl:hasDbXref	FMA:83411	semapv:UnspecifiedMatching	type A cell of stomach	Type A cell of stomach
CL:0002265	oboInOwl:hasDbXref	FMA_2:268744	semapv:UnspecifiedMatching	type D cell of colon	
CL:0002266	oboInOwl:hasDbXref	FMA_2:268736	semapv:UnspecifiedMatching	type D cell of small intestine	
CL:0002267	oboInOwl:hasDbXref	FMA:83410	semapv:UnspecifiedMatching	type D cell of stomach	Type D cell of stomach
CL:0002268	oboInOwl:hasDbXref	FMA:63418	semapv:UnspecifiedMatching	P/D1 enteroendocrine cell	Type P enteroendocrine cell
CL:0002270	oboInOwl:hasDbXref	FMA:62941	semapv:UnspecifiedMatching	type EC2 enteroendocrine cell	Type EC2 enteroendocrine cell
CL:0002271	oboInOwl:hasDbXref	FMA:62940	semapv:UnspecifiedMatching	type EC1 enteroendocrine cell	Type EC1 enteroendocrine cell
CL:0002273	oboInOwl:hasDbXref	FMA:63208	semapv:UnspecifiedMatching	type ECL enteroendocrine cell	Type ECL enteroendocrine cell
CL:0002275	oboInOwl:hasDbXref	BTO:0000805	semapv:UnspecifiedMatching	pancreatic PP cell	pancreatic PP cell
CL:0002275	oboInOwl:hasDbXref	FMA:70588	semapv:UnspecifiedMatching	pancreatic PP cell	Type F cell of pancreatic islet
CL:0002275	oboInOwl:hasDbXref	MESH:D050418	semapv:UnspecifiedMatching	pancreatic PP cell	
CL:0002275	oboInOwl:hasDbXref	ZFA:0005742	semapv:UnspecifiedMatching	pancreatic PP cell	pancreatic PP cell
CL:0002276	oboInOwl:hasDbXref	FMA:85400	semapv:UnspecifiedMatching	obsolete PP cell of pancreatic acinus	Type F cell of pancreatic acinus
CL:0002277	oboInOwl:hasDbXref	FMA:62937	semapv:UnspecifiedMatching	type I enteroendocrine cell	Type I enteroendocrine cell
CL:0002278	oboInOwl:hasDbXref	FMA:62942	semapv:UnspecifiedMatching	GIP cell	Type K enteroendocrine cell
